from_run,to_run,label,family,primary_metric,result,reason,changes,delta_score,delta_net_profit,delta_trades,delta_worst_mae,delta_average_mae,delta_slow_12h_trades
run_011,run_014,charm-pin-tail-box-nudge,runtime-risk,worst_mae,accepted,score delta 908.488 >= 0; net profit delta 864.3 >= -25; trade drop 0% <= 10%; MAE delta 111.75 >= 0; slow trades delta 0 <= 0,entry-veto-charm-pin-tail-risk-max-pullback-from-high=10; entry-veto-charm-pin-tail-risk-max-rolling-high-distance=15; entry-veto-charm-pin-tail-risk-min-setup-quality-score=60,908.4883912997884,864.3000000000002,10.0,111.75,3.741470125786165,0.0
run_012,run_015,promote,strategy-profile,score,mixed,trade drop 12.7273% > 10%,profile.pullback_long.es-structure.min-score=4; profile.pullback_long.es-vwap.max-distance=8.5,4484.84337748538,313.40000000000055,-14.0,-135.0,-0.5814668615984431,0.0
run_013,run_016,charm-wall-breakaway-structure-gate,strategy-profile,score,mixed,score delta -176.68 < 0; net profit delta -178.9 < -25,profile.charm_wall_breakaway_long.es-structure.min-higher-high-distance=1.5; profile.charm_wall_breakaway_long.es-structure.min-higher-low-distance=1; profile.charm_wall_breakaway_long.long-regime-filter.max-distance-above-charm-wall=15,-176.68046432280062,-178.89999999999964,2.0,0.0,0.7989497107254095,0.0
run_014,run_017,charm-pin-high-extension-tail-box,runtime-risk,worst_mae,accepted,score delta 0 >= 0; net profit delta 0 >= -25; trade drop 0% <= 10%; MAE delta 0 >= 0; slow trades delta 0 <= 0,entry-veto-charm-pin-tail-risk-max-rolling-high-distance=14.75; entry-veto-charm-pin-tail-risk-min-setup-quality-score=60; entry-veto-charm-pin-tail-risk-min-vwap-distance=20,0.0,0.0,0.0,0.0,0.0,0.0
run_015,run_018,promote,take-profit,net_profit,mixed,score delta -1730.97 < 0,profile.pullback_long.dynamic-take-profit.max=5; profile.pullback_long.es-vwap.max-distance=12; profile.pullback_long.take-profit.distance=2.5,-1730.9681156965207,44.399999999999636,0.0,-1499.5,-24.43315789473685,1.0
run_016,run_019,squeeze-upside-capture,take-profit,net_profit,accepted,score delta 116.715 >= 0; net profit delta 157.3 >= -25; trade drop 2.77778% <= 10%,profile.squeeze_long.dynamic-take-profit.max=7.5; profile.squeeze_long.es-vwap.slope-min=0.05; profile.squeeze_long.take-profit.distance=4.25,116.71464078800273,157.30000000000018,-3.0,-111.75,-3.6618709561466574,0.0
run_017,run_020,squeeze-upside-capture-check,take-profit,net_profit,accepted,score delta 0 >= 0; net profit delta 0 >= -25; trade drop 0% <= 10%,profile.squeeze_long.dynamic-take-profit.max=7.5; profile.squeeze_long.take-profit.distance=4.25,0.0,0.0,0.0,0.0,0.0,0.0
run_018,run_021,promote,take-profit,net_profit,accepted,score delta 2587.46 >= 0; net profit delta 848.6 >= -25; trade drop 0% <= 10%,profile.squeeze_long.dynamic-take-profit.max=8; profile.squeeze_long.es-vwap.slope-min=0.06; profile.squeeze_long.take-profit.distance=4.5,2587.456734242888,848.6000000000004,10.0,1387.75,19.19032581453635,-1.0
run_019,run_022,squeeze-dynamic-cap-probe,take-profit,net_profit,accepted,score delta 0 >= 0; net profit delta 0 >= -25; trade drop 0% <= 10%,profile.squeeze_long.dynamic-take-profit.max=8; profile.squeeze_long.es-vwap.slope-min=0.05; profile.squeeze_long.take-profit.distance=4.25,0.0,0.0,0.0,0.0,0.0,0.0
run_020,run_023,charm-wall-exit-compression,take-profit,net_profit,mixed,score delta -143.636 < 0; net profit delta -146.7 < -25,profile.charm_wall_breakaway_long.es-vwap.max-distance=22; profile.charm_wall_breakaway_long.take-profit.max-distance=10; profile.charm_wall_breakaway_long.take-profit.multiplier=1.15,-143.6358412997888,-146.69999999999982,4.0,0.0,0.6981132075471805,0.0
run_021,run_024,no-0dte-breakout-quality-holdout,take-profit,net_profit,mixed,score delta -120.112 < 0; net profit delta -157.2 < -25,profile.breakout_long_no_0dte.es-structure.min-score=5; profile.breakout_long_no_0dte.es-vwap.slope-min=0.1; profile.breakout_long_no_0dte.take-profit.distance=4,-120.11248928571513,-157.20000000000073,0.0,111.75,2.326190476190476,0.0
run_022,run_025,charm-wall-pin-avoid-activation-probe,strategy-profile,score,accepted,score delta 175.843 >= 0; net profit delta 138.2 >= -25; trade drop 0% <= 10%,"__router.valid-0dte-profiles=breakout_long,pullback_long,squeeze_long,wall_reclaim_long,wall_breakout_retest_long,late_day_pin_fade,negative_gamma_momentum_long,trend_day_pullback_long,charm_pin_pullback_long,charm_wall_breakaway_long,call_wall_acceptance_long,charm_wall_pin_avoid_long; profile.charm_wall_pin_avoid_long.enabled=true",175.84319300919014,138.19999999999982,2.0,111.75,2.0336175616835988,0.0
run_023,run_026,charm-pin-dynamic-vwap-tail-trim,strategy-profile,score,accepted,score delta 6.94058 >= 0; net profit delta 13 >= -25; trade drop 5.40541% <= 10%,profile.charm_pin_pullback_long.long-regime-filter.dynamic-vwap-expected-move-fraction=0.2; profile.charm_pin_pullback_long.long-regime-filter.dynamic-vwap-max-distance=25; profile.charm_pin_pullback_long.long-regime-filter.recent-high-rejection-min-pullback=8,6.940582478633587,13.0,-6.0,0.0,-2.028365384615384,0.0
run_024,run_027,charm-wall-admission-probe,strategy-profile,score,accepted,score delta 217.242 >= 0; net profit delta 221 >= -25; trade drop 0% <= 10%,profile.charm_wall_breakaway_long.es-structure.min-higher-high-distance=0.5; profile.charm_wall_breakaway_long.long-regime-filter.max-distance-above-charm-wall=25,217.24158015872854,221.0,0.0,0.0,-2.5038095238095224,0.0
run_025,run_028,charm-pin-dynamic-rejection-box,strategy-profile,score,accepted,score delta 0 >= 0; net profit delta 0 >= -25; trade drop 0% <= 10%,profile.charm_pin_pullback_long.long-regime-filter.dynamic-vwap-volatility-multiplier=0.25; profile.charm_pin_pullback_long.long-regime-filter.recent-high-rejection-min-pullback=8,0.0,0.0,0.0,0.0,0.0,0.0
run_026,run_029,surgical-extended-vwap-boundary-probe,surgical-veto,worst_mae,accepted,score delta 165.297 >= 0; net profit delta 157.5 >= -25; trade drop 0% <= 10%; MAE delta 13.6 >= 0; slow trades delta 0 <= 0,entry-veto-extended-vwap-rejection-max-vwap-distance=26.25,165.29669854862004,157.5,2.0,13.600000000000023,2.533082365747461,0.0
run_027,run_030,charm-wall-geometry-followthrough,strategy-profile,score,accepted,score delta 0 >= 0; net profit delta 0 >= -25; trade drop 0% <= 10%,profile.charm_wall_breakaway_long.long-regime-filter.max-distance-above-charm-wall=25,0.0,0.0,0.0,0.0,0.0,0.0
run_028,run_031,fallback-orderbookminmicropriceslopepointspersecond--0.003,upstream-entry,score,accepted,score delta 0 >= 0; net profit delta 0 >= -25; trade drop 0% <= 10%,order-book-min-microprice-slope-points-per-second=-0.003,0.0,0.0,0.0,0.0,0.0,0.0
run_029,run_032,extended-vwap-rsi-boundary-probe,surgical-veto,worst_mae,mixed,score delta -77.9358 < 0; net profit delta -80.1 < -25,entry-veto-extended-vwap-rejection-max-rsi-slope=4.1,-77.93580367682625,-80.10000000000036,-2.0,0.0,2.090475326560224,0.0
run_030,run_033,squeeze-fast-realization,take-profit,net_profit,mixed,score delta -127.881 < 0; net profit delta -93 < -25,profile.squeeze_long.dynamic-take-profit.max=5.5; profile.squeeze_long.es-vwap.slope-min=0.05; profile.squeeze_long.take-profit.distance=3.25,-127.8808379731363,-93.0,-1.0,-111.75,-0.526304945054946,0.0
run_031,run_034,promote,take-profit,net_profit,mixed,score delta -209.988 < 0; net profit delta -217.6 < -25,profile.breakout_long_no_0dte.es-structure.min-score=5; profile.breakout_long_no_0dte.es-vwap.slope-min=0.1; profile.breakout_long_no_0dte.take-profit.distance=2.5,-209.98805042677304,-217.60000000000036,-1.0,13.600000000000023,3.405494159928125,0.0
run_032,run_035,stale-no-0dte-breakout-compression,take-profit,net_profit,mixed,score delta -11.8534 < 0,profile.breakout_long_no_0dte.dynamic-take-profit.max=4; profile.breakout_long_no_0dte.es-vwap.slope-min=0.1; profile.breakout_long_no_0dte.take-profit.distance=2.5,-11.853442811643617,-12.5,2.0,0.0,-0.21924891146589687,0.0
run_033,run_036,promote,strategy-profile,score,accepted,score delta 110.562 >= 0; net profit delta 72.5 >= -25; trade drop 0% <= 10%,profile.charm_wall_breakaway_long.es-structure.min-higher-high-distance=0.5; profile.charm_wall_breakaway_long.es-structure.min-higher-low-distance=1; profile.charm_wall_breakaway_long.long-regime-filter.max-distance-above-charm-wall=25,110.56238675213535,72.5,0.0,125.35000000000002,0.9822115384615273,0.0
run_034,run_037,fallback-scalpesvwapdistancemin-20,general,score,accepted,score delta 238.589 >= 0; net profit delta 241.4 >= -25; trade drop 0% <= 10%,scalp-es-vwap-distance-min=20,238.58949015423786,241.40000000000055,1.0,0.0,-2.2026639712488674,0.0
run_035,run_038,charm-pin-tail-box-repair,runtime-risk,worst_mae,accepted,score delta 89.7892 >= 0; net profit delta 92.6 >= -25; trade drop 0% <= 10%; MAE delta 0 >= 0; slow trades delta 0 <= 0,entry-veto-charm-pin-tail-risk-max-pullback-from-high=10; entry-veto-charm-pin-tail-risk-max-rolling-high-distance=15; entry-veto-charm-pin-tail-risk-max-vwap-acceleration=0.02; entry-veto-charm-pin-tail-risk-min-setup-quality-score=60,89.78924648846987,92.60000000000036,0.0,0.0,-1.871226415094327,0.0
run_036,run_039,promote,strategy-profile,score,mixed,score delta -203.361 < 0; net profit delta -204.4 < -25,profile.charm_wall_breakaway_long.es-structure.min-higher-low-distance=1; profile.charm_wall_breakaway_long.es-vwap.max-distance=22; profile.charm_wall_breakaway_long.long-regime-filter.max-distance-above-charm-wall=25,-203.3606590964573,-204.39999999999964,1.0,0.0,0.35837912087912116,0.0
run_037,run_040,charm-pin-local-extension-box,strategy-profile,score,accepted,score delta 0 >= 0; net profit delta 0 >= -25; trade drop 0% <= 10%,profile.charm_pin_pullback_long.long-regime-filter.dynamic-vwap-max-distance=25; profile.charm_pin_pullback_long.long-regime-filter.dynamic-vwap-volatility-multiplier=0.4; profile.charm_pin_pullback_long.long-regime-filter.recent-high-rejection-min-pullback=8,0.0,0.0,0.0,0.0,0.0,0.0
run_038,run_041,charm-wall-realization-trim,take-profit,net_profit,mixed,score delta -143.701 < 0; net profit delta -146.7 < -25,profile.charm_wall_breakaway_long.es-vwap.max-distance=22; profile.charm_wall_breakaway_long.take-profit.max-distance=10; profile.charm_wall_breakaway_long.take-profit.multiplier=1,-143.70145021917415,-146.70000000000073,4.0,0.0,0.6543739279588294,0.0
run_039,run_042,fallback-emaperiod-12,upstream-entry,score,rejected,score delta -14219.2 < 0; net profit delta -2607.1 < -25; trade drop 32.0755% > 10%,ema-period=12,-14219.200218408292,-2607.1000000000004,-34.0,-3881.1,-61.502182539682536,1.0
run_040,run_043,fallback-indicatorregisterresolution-Second,upstream-entry,score,rejected,score delta -15618.4 < 0; net profit delta -3270.8 < -25; trade drop 26.1682% > 10%,indicator-register-resolution=Second,-15618.400284360587,-3270.8,-28.0,-3874.2999999999997,-108.95471698113207,2.0
run_041,run_044,extended-vwap-tail-boundary-nudge,surgical-veto,worst_mae,mixed,MAE delta -4.52723 < 0,entry-veto-extended-vwap-rejection-max-vwap-distance=27,460.89448830956644,529.9000000000005,-8.0,-141.80000000000007,-4.5272281639928735,0.0
run_042,run_045,promote,option-strike-map,score,accepted,score delta 13578.6 >= 0; net profit delta 2011.9 >= -25; trade drop 0% <= 10%,option-call-volume.min-increase-pct=0.05; option-strike-acceptance-seconds=45; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.03; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=7.5e+08,13578.553448765433,2011.9000000000005,25.0,3755.75,58.587152777777774,-1.0
run_043,run_046,promote,strategy-profile,score,accepted,score delta 15551.1 >= 0; net profit delta 3206.1 >= -25; trade drop 0% <= 10%,profile.charm_wall_breakaway_long.es-structure.min-higher-high-distance=1.5; profile.charm_wall_breakaway_long.es-structure.min-higher-low-distance=1; profile.charm_wall_breakaway_long.long-regime-filter.max-distance-above-charm-wall=25,15551.115300128204,3206.0999999999995,26.0,3874.2999999999997,107.89519230769228,-2.0
run_044,run_047,promote,take-profit,net_profit,mixed,score delta -15.4343 < 0,option-strike-acceptance-seconds=45; profile.call_wall_acceptance_long.dynamic-take-profit.max=5; profile.call_wall_acceptance_long.take-profit.distance=4.5,-15.434340196077756,-15.400000000000546,0.0,0.0,-0.02254901960783684,0.0
run_045,run_048,call-wall-sustained-sample-builder,strategy-profile,score,accepted,score delta 12.3558 >= 0; net profit delta 16.6 >= -25; trade drop 2.06186% <= 10%,option-call-volume.min-increase-pct=0.05; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.03; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=5e+08,12.355803516549713,16.599999999999454,-2.0,0.0,-2.164073581560274,0.0
run_046,run_049,fallback-adxperiod-10,upstream-entry,score,rejected,score delta -3101.68 < 0; net profit delta -1107.9 < -25; trade drop 16.1905% > 10%,adx-period=10,-3101.6809364764667,-1107.8999999999996,-17.0,-1523.6,-38.88628426171529,1.0
run_047,run_050,promote,take-profit,net_profit,accepted,score delta 15.4343 >= 0; net profit delta 15.4 >= -25; trade drop 0% <= 10%,profile.call_wall_acceptance_long.dynamic-take-profit.max=5; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.08,15.434340196077756,15.400000000000546,0.0,0.0,0.02254901960783684,0.0
run_048,run_051,charm-wall-supported-extension-box,strategy-profile,score,accepted,score delta 1010.32 >= 0; net profit delta 1023.8 >= -25; trade drop 0% <= 10%,profile.charm_wall_breakaway_long.es-structure.min-higher-high-distance=1.5; profile.charm_wall_breakaway_long.es-structure.min-higher-low-distance=1; profile.charm_wall_breakaway_long.es-vwap.max-distance=22,1010.3155431258474,1023.8000000000002,9.0,-16.450000000000045,2.430143565379055,0.0
run_049,run_052,promote,take-profit,net_profit,accepted,score delta 3326.14 >= 0; net profit delta 1392.6 >= -25; trade drop 0% <= 10%,profile.charm_wall_breakaway_long.es-structure.min-higher-high-distance=1.5; profile.charm_wall_breakaway_long.es-structure.min-higher-low-distance=1; profile.charm_wall_breakaway_long.take-profit.max-distance=6,3326.143708243382,1392.6000000000004,20.0,1381.8,36.51842840262111,-1.0
run_050,run_053,promote,strategy-profile,score,mixed,score delta -1216.13 < 0; net profit delta -1230.9 < -25,option-call-volume.min-increase-pct=0.15; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.08; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=1.5e+09,-1216.129647545542,-1230.9000000000005,-8.0,16.450000000000045,-1.9073946599916525,0.0
run_051,run_054,no-0dte-breakout-realization-tighten,take-profit,net_profit,accepted,score delta 122.48 >= 0; net profit delta 120.9 >= -25; trade drop 0.961538% <= 10%,profile.breakout_long_no_0dte.dynamic-take-profit.max=4; profile.breakout_long_no_0dte.es-vwap.slope-min=0.1; profile.breakout_long_no_0dte.take-profit.distance=4,122.4797830144671,120.90000000000055,-1.0,0.0,1.3850942318674981,0.0
run_052,run_055,call-wall-realization-persistence-box,take-profit,net_profit,accepted,score delta 160.015 >= 0; net profit delta 163.2 >= -25; trade drop 4.62963% <= 10%,profile.call_wall_acceptance_long.dynamic-take-profit.max=5,160.0152505558599,163.19999999999982,-5.0,0.0,-0.44547370350008464,0.0
run_053,run_056,extended-vwap-near-miss-tail-repair,surgical-veto,worst_mae,mixed,score delta -116.261 < 0; net profit delta -97.7 < -25,entry-veto-extended-vwap-rejection-max-higher-high-distance=7.5; entry-veto-extended-vwap-rejection-max-rsi-slope=4.4; entry-veto-extended-vwap-rejection-min-pullback-from-high=0,-116.2608839752047,-97.69999999999982,-7.0,-16.450000000000045,4.306345868381982,0.0
run_054,run_057,call-wall-persistence-containment,take-profit,net_profit,accepted,score delta 32.6282 >= 0; net profit delta 35.8 >= -25; trade drop 0% <= 10%,option-strike-acceptance-seconds=30; profile.call_wall_acceptance_long.dynamic-take-profit.max=5; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.08,32.628174346404194,35.79999999999927,0.0,0.0,-2.11127450980392,0.0
run_055,run_058,delta-charm-breakout-attribution-probe,strategy-profile,score,mixed,score delta -112.544 < 0; net profit delta -113 < -25,"__router.valid-0dte-profiles=breakout_long,pullback_long,squeeze_long,wall_reclaim_long,wall_breakout_retest_long,late_day_pin_fade,negative_gamma_momentum_long,trend_day_pullback_long,charm_pin_pullback_long,charm_wall_breakaway_long,call_wall_acceptance_long,delta_charm_breakout_long; profile.delta_charm_breakout_long.enabled=true",-112.54434689542359,-113.0,-2.0,0.0,0.9631372549019659,0.0
run_056,run_059,fallback-highertimeframeresolution-30min,upstream-entry,score,accepted,score delta 1332.39 >= 0; net profit delta 1328.6 >= -25; trade drop 0% <= 10%,higher-timeframe-resolution=30min,1332.3905315207467,1328.6000000000004,15.0,0.0,-2.3989512083903293,0.0
run_057,run_060,fallback-drifttradequantitymultiplier-0.5,general,score,accepted,score delta 50.7061 >= 0; net profit delta 50.4 >= -25; trade drop 0% <= 10%,drift-trade-quantity-multiplier=0.5,50.70614705882326,50.400000000000546,0.0,0.0,0.20343137254901933,0.0
